,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
155,TWM Latham ,2012-2021,102,94,11,2824,137,34.02,3373,83.72,5,16,7,239,36,NEW ZEALAND
156,WK Lees ,1979-1983,31,24,5,215,26,11.31,307,70.03,0,0,1,11+,4,NEW ZEALAND
157,MJ McClenaghan ,2013-2016,48,14,10,108,34*,27.00,138,78.26,0,0,0,10,3,NEW ZEALAND
158,BB McCullum ,2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200,NEW ZEALAND
159,NL McCullum ,2009-2015,84,62,11,1070,65,20.98,1220,87.70,0,4,3,69,33,NEW ZEALAND
160,PE McEwan ,1980-1985,17,15,0,204,41,13.60,346,58.95,0,0,0,11+,0+,NEW ZEALAND
161,PD McGlashan ,2009-2009,4,2,1,63,56*,63.00,51,123.52,0,1,0,6,1,NEW ZEALAND
162,AJ McKay ,2010-2012,19,10,7,12,4*,4.00,47,25.53,0,0,3,0,0,NEW ZEALAND
163,BJ McKechnie ,1975-1981,14,8,4,54,27,13.50,145,37.24,0,0,1,4+,0+,NEW ZEALAND
164,CD McMillan ,1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,373,84,NEW ZEALAND
165,EB McSweeney ,1986-1987,16,14,5,73,18*,8.11,119,61.34,0,0,2,3,2,NEW ZEALAND
166,HJH Marshall ,2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3,98,8,NEW ZEALAND
167,JAH Marshall ,2005-2008,10,10,0,250,161,25.00,313,79.87,1,1,2,19,4,NEW ZEALAND
168,CS Martin ,2001-2008,20,7,2,8,3,1.60,27,29.62,0,0,2,0,0,NEW ZEALAND
169,MJ Mason ,2003-2010,26,7,4,24,13*,8.00,45,53.33,0,0,1,3,0,NEW ZEALAND
170,AW Mathieson ,2015-2015,1,1,1,0,0*,-,0,-,0,0,0,0,0,NEW ZEALAND
171,JP Millmow ,1990-1990,5,1,1,0,0*,-,3,0.00,0,0,0,0,0,NEW ZEALAND
172,KD Mills ,2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8,76,38,NEW ZEALAND
173,AF Milne ,2012-2017,40,17,7,168,36,16.80,165,101.81,0,0,2,11,4,NEW ZEALAND
174,DJ Mitchell ,2021-2021,3,2,2,112,100*,-,98,114.28,1,0,0,11,2,NEW ZEALAND
175,DK Morrison ,1987-1996,96,43,24,171,20*,9.00,400,42.75,0,0,7,8,2,NEW ZEALAND
